config,run_name,model,mae,rmse,mape_percent,metrics_path
configs\fusion_sweeps\pemsd7_agstt_fusion_constrained_v3.yaml,pemsd7_agstt_fusion_constrained_v3,agstt,3.550269365310669,6.761472702026367,9.324164390563965,outputs\fusion_sweeps\pemsd7_agstt_fusion_constrained_v3_metrics.json
configs\fusion_sweeps\pemsd7_agstt_fusion_constrained_v2.yaml,pemsd7_agstt_fusion_constrained_v2,agstt,3.5571298599243164,6.760979175567627,9.349685668945312,outputs\fusion_sweeps\pemsd7_agstt_fusion_constrained_v2_metrics.json
configs\fusion_sweeps\pemsd7_agstt_fusion_constrained_v1.yaml,pemsd7_agstt_fusion_constrained_v1,agstt,3.5572917461395264,6.763512134552002,9.342117309570312,outputs\fusion_sweeps\pemsd7_agstt_fusion_constrained_v1_metrics.json
configs\fusion_sweeps\metr_la_agstt_fusion_constrained_v3.yaml,metr_la_agstt_fusion_constrained_v3,agstt,4.279740810394287,8.75130844116211,11.662571907043457,outputs\fusion_sweeps\metr_la_agstt_fusion_constrained_v3_metrics.json
configs\fusion_sweeps\metr_la_agstt_fusion_constrained_v1.yaml,metr_la_agstt_fusion_constrained_v1,agstt,4.283483505249023,8.767502784729004,11.6497163772583,outputs\fusion_sweeps\metr_la_agstt_fusion_constrained_v1_metrics.json
configs\fusion_sweeps\metr_la_agstt_fusion_constrained_v2.yaml,metr_la_agstt_fusion_constrained_v2,agstt,4.285651206970215,8.780484199523926,11.627791404724121,outputs\fusion_sweeps\metr_la_agstt_fusion_constrained_v2_metrics.json
