dataset,split,agstt_mae,dcrnn_mae,delta_agstt_minus_dcrnn,better_model
metr_la,s1,5.140191078186035,5.080355167388916,0.05983591079711914,dcrnn
metr_la,s2,4.588954925537109,4.63016414642334,-0.04120922088623047,agstt
metr_la,s3,4.579782962799072,4.489026069641113,0.09075689315795898,dcrnn
pemsd7_228,s1,3.6417417526245117,3.676508665084839,-0.03476691246032715,agstt
pemsd7_228,s2,3.3196334838867188,3.364511728286743,-0.044878244400024414,agstt
pemsd7_228,s3,6.626040458679199,5.270542144775391,1.3554983139038086,dcrnn
