config,run_name,model,mae,rmse,mape_percent,metrics_path
configs\pemsd7_agstt_long_budget.yaml,pemsd7_agstt_long_budget,agstt,3.182805299758911,6.218234539031982,8.260438919067383,outputs\improvements\pemsd7_agstt_long_budget_metrics.json
configs\pemsd7_agstt_no_dynamic.yaml,pemsd7_agstt_no_dynamic,agstt,3.5443527698516846,6.80143928527832,9.138711929321289,outputs\improvements\pemsd7_agstt_no_dynamic_metrics.json
configs\pemsd7_agstt_no_adaptive.yaml,pemsd7_agstt_no_adaptive,agstt,3.5943901538848877,6.808689117431641,9.533635139465332,outputs\improvements\pemsd7_agstt_no_adaptive_metrics.json
configs\metr_la_agstt_long_budget.yaml,metr_la_agstt_long_budget,agstt,3.791370391845703,8.289145469665527,9.980010032653809,outputs\improvements\metr_la_agstt_long_budget_metrics.json
configs\metr_la_agstt_no_adaptive.yaml,metr_la_agstt_no_adaptive,agstt,4.334160804748535,8.750049591064453,12.381336212158203,outputs\improvements\metr_la_agstt_no_adaptive_metrics.json
configs\metr_la_agstt_no_dynamic.yaml,metr_la_agstt_no_dynamic,agstt,4.352898120880127,8.772613525390625,12.615863800048828,outputs\improvements\metr_la_agstt_no_dynamic_metrics.json
