dataset,reference_label,challenger_label,n_seeds,seeds,mean_diff_ref_minus_challenger,std_diff_ref_minus_challenger,bootstrap_95ci,p_value_two_sided,reference_win_count,challenger_win_count,tie_count,significant_at_0_05,interpretation
metr_la,agstt_fusion_constrained_v3,dcrnn_baseline,5,"[7, 42, 123, 2026, 3407]",-0.04812154769897461,0.01915396454062712,"[-0.06510276794433593, -0.03114032745361328]",0.09090909090909091,5,0,0,False,agstt_fusion_constrained_v3 better
pemsd7_228,agstt_fusion_constrained_v3,dcrnn_baseline,5,"[7, 42, 123, 2026, 3407]",-4.868507385253906e-05,0.03790316873822843,"[-0.029721784591674804, 0.0333979606628418]",1.0,2,3,0,False,agstt_fusion_constrained_v3 better
