dataset,run_name,model,n_runs,mae_mean,mae_std,rmse_mean,rmse_std,mape_mean,mape_std
metr_la,metr_la_agstt_full,agstt,5,4.308125591278076,0.0455308387003276,8.796869659423828,0.1302883441631148,12.017918968200684,0.30640569118840677
metr_la,metr_la_dcrnn_baseline,dcrnn,5,4.333203983306885,0.015491868682831748,8.92215347290039,0.048853326943315956,11.957451629638673,0.04032891822948126
pemsd7_228,pemsd7_agstt_full,agstt,5,3.599855136871338,0.01816925915309781,6.858243465423584,0.08001517302054836,9.378789710998536,0.10682413457841834
pemsd7_228,pemsd7_dcrnn_baseline,dcrnn,5,3.6077099323272703,0.01197178027934886,7.033426761627197,0.03512582278286632,9.104414939880371,0.11071356258499555
